delivery_date,time_code,area_group,bid_price_jpy_kwh,sell_cumulative_mw,buy_cumulative_mw,net_supply_mw,source
2026-08-24,8,System Price,1.0,40980.4,55388.6,-14408.199999999997,JEPX processed sampled bidding curve
2026-08-24,8,System Price,5.0,41201.3,54871.2,-13669.899999999994,JEPX processed sampled bidding curve
2026-08-24,8,System Price,10.0,41739.7,51446.0,-9706.300000000003,JEPX processed sampled bidding curve
2026-08-24,8,System Price,15.0,45601.4,49306.3,-3704.9000000000015,JEPX processed sampled bidding curve
2026-08-24,8,System Price,20.0,48477.8,44263.7,4214.100000000006,JEPX processed sampled bidding curve
2026-08-24,8,System Price,25.0,52441.0,42860.8,9580.199999999997,JEPX processed sampled bidding curve
2026-08-24,8,System Price,30.0,53512.8,42510.9,11001.900000000001,JEPX processed sampled bidding curve
2026-08-24,8,System Price,40.0,54263.4,38027.2,16236.200000000004,JEPX processed sampled bidding curve
2026-08-24,8,System Price,50.0,54320.0,37408.6,16911.4,JEPX processed sampled bidding curve
2026-08-24,8,System Price,75.0,54354.0,29170.5,25183.5,JEPX processed sampled bidding curve
2026-08-24,8,System Price,100.0,54426.8,28118.5,26308.300000000003,JEPX processed sampled bidding curve
2026-08-24,8,System Price,150.0,54426.8,27419.7,27007.100000000002,JEPX processed sampled bidding curve
2026-08-24,8,System Price,200.0,54426.8,27414.4,27012.4,JEPX processed sampled bidding curve
2026-08-24,8,System Price,300.0,54427.1,19851.4,34575.7,JEPX processed sampled bidding curve
2026-08-24,8,System Price,500.0,54427.1,19843.66671444524,34583.433285554755,JEPX processed sampled bidding curve
2026-08-24,8,System Price,800.0,54427.1,19841.516678611308,34585.583321388694,JEPX processed sampled bidding curve
2026-08-24,8,System Price,1000.0,54427.1,0.0,54427.1,JEPX processed sampled bidding curve
2026-08-24,9,Hokkaido / Tohoku / Tokyo / Chubu,0.0,14400.1,36641.1,-22241.0,JEPX processed sampled bidding curve
2026-08-24,9,Hokkaido / Tohoku / Tokyo / Chubu,1.0,27958.4,36515.2,-8556.799999999996,JEPX processed sampled bidding curve
2026-08-24,9,Hokkaido / Tohoku / Tokyo / Chubu,5.0,28065.7,36284.0,-8218.3,JEPX processed sampled bidding curve
2026-08-24,9,Hokkaido / Tohoku / Tokyo / Chubu,10.0,28251.5,34183.0,-5931.5,JEPX processed sampled bidding curve
2026-08-24,9,Hokkaido / Tohoku / Tokyo / Chubu,15.0,30168.4,33499.2,-3330.7999999999956,JEPX processed sampled bidding curve
2026-08-24,9,Hokkaido / Tohoku / Tokyo / Chubu,20.0,32401.5,29824.8,2576.7000000000007,JEPX processed sampled bidding curve
2026-08-24,9,Hokkaido / Tohoku / Tokyo / Chubu,25.0,35765.8,28539.3,7226.500000000004,JEPX processed sampled bidding curve
2026-08-24,9,Hokkaido / Tohoku / Tokyo / Chubu,30.0,36431.4,28326.0,8105.4000000000015,JEPX processed sampled bidding curve
2026-08-24,9,Hokkaido / Tohoku / Tokyo / Chubu,40.0,37129.0,24098.0,13031.0,JEPX processed sampled bidding curve
2026-08-24,9,Hokkaido / Tohoku / Tokyo / Chubu,50.0,37175.5,23730.9,13444.599999999999,JEPX processed sampled bidding curve
2026-08-24,9,Hokkaido / Tohoku / Tokyo / Chubu,75.0,37199.9,18409.0,18790.9,JEPX processed sampled bidding curve
2026-08-24,9,Hokkaido / Tohoku / Tokyo / Chubu,100.0,37219.9,17818.5,19401.4,JEPX processed sampled bidding curve
2026-08-24,9,Hokkaido / Tohoku / Tokyo / Chubu,150.0,37219.9,17600.5,19619.4,JEPX processed sampled bidding curve
2026-08-24,9,Hokkaido / Tohoku / Tokyo / Chubu,200.0,37219.9,17597.0,19622.9,JEPX processed sampled bidding curve
2026-08-24,9,Hokkaido / Tohoku / Tokyo / Chubu,300.0,37220.1,13769.8,23450.3,JEPX processed sampled bidding curve
2026-08-24,9,Hokkaido / Tohoku / Tokyo / Chubu,500.0,37220.1,13764.256664616089,23455.84333538391,JEPX processed sampled bidding curve
2026-08-24,9,Hokkaido / Tohoku / Tokyo / Chubu,800.0,37220.1,13763.741635788781,23456.358364211217,JEPX processed sampled bidding curve
2026-08-24,9,Hokkaido / Tohoku / Tokyo / Chubu,1000.0,37220.1,0.0,37220.1,JEPX processed sampled bidding curve
2026-08-24,9,Hokuriku / Kansai / Chugoku / Shikoku,0.0,3693.6,17319.9,-13626.300000000001,JEPX processed sampled bidding curve
2026-08-24,9,Hokuriku / Kansai / Chugoku / Shikoku,1.0,13441.2,17308.1,-3866.899999999998,JEPX processed sampled bidding curve
2026-08-24,9,Hokuriku / Kansai / Chugoku / Shikoku,5.0,13532.5,17146.3,-3613.7999999999993,JEPX processed sampled bidding curve
2026-08-24,9,Hokuriku / Kansai / Chugoku / Shikoku,10.0,13744.4,16266.9,-2522.5,JEPX processed sampled bidding curve
2026-08-24,9,Hokuriku / Kansai / Chugoku / Shikoku,15.0,14022.6,14945.8,-923.1999999999989,JEPX processed sampled bidding curve
2026-08-24,9,Hokuriku / Kansai / Chugoku / Shikoku,20.0,14399.8,13489.3,910.5,JEPX processed sampled bidding curve
2026-08-24,9,Hokuriku / Kansai / Chugoku / Shikoku,25.0,14834.4,13413.2,1421.199999999999,JEPX processed sampled bidding curve
2026-08-24,9,Hokuriku / Kansai / Chugoku / Shikoku,30.0,15126.4,13358.4,1768.0,JEPX processed sampled bidding curve
2026-08-24,9,Hokuriku / Kansai / Chugoku / Shikoku,40.0,15168.4,13121.9,2046.5,JEPX processed sampled bidding curve
2026-08-24,9,Hokuriku / Kansai / Chugoku / Shikoku,50.0,15178.4,13049.7,2128.699999999999,JEPX processed sampled bidding curve
2026-08-24,9,Hokuriku / Kansai / Chugoku / Shikoku,75.0,15179.7,11146.04621309371,4033.6537869062904,JEPX processed sampled bidding curve
2026-08-24,9,Hokuriku / Kansai / Chugoku / Shikoku,100.0,15235.0,10452.7,4782.299999999999,JEPX processed sampled bidding curve
2026-08-24,9,Hokuriku / Kansai / Chugoku / Shikoku,150.0,15235.0,10019.82950819672,5215.170491803279,JEPX processed sampled bidding curve
2026-08-24,9,Hokuriku / Kansai / Chugoku / Shikoku,200.0,15235.0,10010.8,5224.200000000001,JEPX processed sampled bidding curve
2026-08-24,9,Hokuriku / Kansai / Chugoku / Shikoku,300.0,15235.1,7015.8,8219.3,JEPX processed sampled bidding curve
2026-08-24,9,Hokuriku / Kansai / Chugoku / Shikoku,500.0,15235.1,7014.884438976237,8220.215561023764,JEPX processed sampled bidding curve
2026-08-24,9,Hokuriku / Kansai / Chugoku / Shikoku,800.0,15235.1,7013.511028770083,8221.588971229918,JEPX processed sampled bidding curve
2026-08-24,9,Hokuriku / Kansai / Chugoku / Shikoku,1000.0,15235.1,0.0,15235.1,JEPX processed sampled bidding curve
2026-08-24,9,System Price,0.0,17410.6,54959.1,-37548.5,JEPX processed sampled bidding curve
2026-08-24,9,System Price,1.0,41280.7,54809.6,-13528.900000000001,JEPX processed sampled bidding curve
2026-08-24,9,System Price,5.0,41500.0,54296.8,-12796.800000000003,JEPX processed sampled bidding curve
2026-08-24,9,System Price,10.0,42020.9,50851.7,-8830.799999999996,JEPX processed sampled bidding curve
2026-08-24,9,System Price,15.0,45629.7,48808.9,-3179.2000000000044,JEPX processed sampled bidding curve
2026-08-24,9,System Price,20.0,48556.8,43657.0,4899.800000000003,JEPX processed sampled bidding curve
2026-08-24,9,System Price,25.0,52562.8,42254.4,10308.400000000001,JEPX processed sampled bidding curve
2026-08-24,9,System Price,30.0,53632.1,41906.2,11725.900000000001,JEPX processed sampled bidding curve
2026-08-24,9,System Price,40.0,54371.7,37262.2,17109.5,JEPX processed sampled bidding curve
2026-08-24,9,System Price,50.0,54428.2,36799.8,17628.399999999994,JEPX processed sampled bidding curve
2026-08-24,9,System Price,75.0,54462.2,29032.2,25429.999999999996,JEPX processed sampled bidding curve
2026-08-24,9,System Price,100.0,54537.5,27981.1,26556.4,JEPX processed sampled bidding curve
2026-08-24,9,System Price,150.0,54537.5,27300.5,27237.0,JEPX processed sampled bidding curve
2026-08-24,9,System Price,200.0,54537.5,27295.2,27242.3,JEPX processed sampled bidding curve
2026-08-24,9,System Price,300.0,54537.9,19703.4,34834.5,JEPX processed sampled bidding curve
2026-08-24,9,System Price,500.0,54537.9,19695.733382223036,34842.166617776966,JEPX processed sampled bidding curve
2026-08-24,9,System Price,800.0,54537.9,19693.53334555576,34844.36665444424,JEPX processed sampled bidding curve
2026-08-24,9,System Price,1000.0,54537.9,0.0,54537.9,JEPX processed sampled bidding curve
2026-08-24,10,Hokkaido / Tohoku / Tokyo / Chubu,0.0,14453.1,37416.3,-22963.200000000004,JEPX processed sampled bidding curve
